tilt,lsc_objects
5,1.0873413595225696
10,1.1349078446546272
20,1.0865793729025905
30,1.1184326542855874
40,1.0789893314605858
50,1.101517736830951
60,1.1047536403412825
70,1.093045262826204
80,1.1071921407678122
90,1.093705530107929
