tilt,lsc_objects
5,1.0804336098905614
10,1.042204680886747
20,1.1927626203104003
30,1.1826023065968903
40,1.2210564301814437
50,1.0648330291026704
60,1.1266759630650611
70,1.1271268733721225
80,1.1206769632496392
90,1.1176080943045537
