tilt,lsc_objects
5,1.105130279756875
10,1.127761727796485
20,1.0621318151190455
30,1.0986522511457675
40,1.0907063180975671
50,1.0627394156212888
60,1.0848699003010627
70,1.080663251107857
80,1.0626283162385601
90,1.0696940282625766
