tilt,lsc_objects
5,0.026899999999999997
10,0.042600000000000006
20,0.0661
30,0.06920000000000001
40,0.0707
50,0.07039999999999999
60,0.07060000000000001
70,0.07400000000000001
80,0.0767
90,0.0713
